text,cleaned,length,Model Prediction NLTK,Model Prediction Text Blob,Manual Review,Reviewed (2 is not sure),Final
"Two graphic designers, three filmmakers, a photographer and some friends.. ok?",two graphic designer three filmmaker photographer friend ok,8,1,1,1,,1
Great deal and fun way of trying different flavoured vodkas.,great deal fun way try different flavour vodka,8,1,1,1,,1
The place is sterile  and not an enjoyable atmosphere.,place sterile not enjoyable atmosphere,5,0,0,0,,0
I wanted to try their blueberry sake called Star Rabbit but they were out of it.,want try blueberry sake call star rabbit,7,1,1,1,,1
"I ate a few of my ""spicy"" fries for a minute and headed home.",ate spicy fry minute head home,6,0,1,0,,0
"When you book a table and tickets here you must meet a food and drink minimum, which wasn't an issue.",book table ticket must meet food drink minimum not issue,10,0,1,TO REVIEW,1,1
I'd order the banana cream pie again.,order banana cream pie,4,0,1,1,1,1
It was my mother's and step father's favortie mexican restaurant and over time has become mine.,mother step father favortie mexican restaurant time become mine,9,0,1,1,1,1
I had my tummy set on a Treacle burger so I went for that here and it was quite good.,tummy set treacle burger go quite good,7,1,1,1,,1
I've never been charged arbitrary fees at a restaurant before.,never charge arbitrary fee restaurant,5,0,0,0,,0
Let's do the math: 5 / 7 = 0.71 shots per glass.,let math shot per glass,5,0,1,TO REVIEW,2,
Best Italian restaurant in Vegas.,best italian restaurant vega,4,1,1,1,,1
My wife ordered the veggie calzone with pepperoncinis and mushrooms.,wife order veggie calzone pepperoncinis mushroom,6,0,1,1,1,1
"The server was odd, telling us she was a vegetarian after we ordered steak & chicken.",server odd tell u vegetarian order steak chicken,8,0,0,0,,0
"Appetizer
1) Canadian Classic- THis is raw salmon with cream cheese and a bagel.",canadian classic raw salmon cream cheese bagel,7,0,0,0,,0
"Confusing decor aside, I expected a good meal based on my experiences at the Tropicana location.",confuse decor aside expect good meal base experience tropicana location,10,1,0,TO REVIEW,2,
"As for the food, we both got the steak frites (on recommendation).",food get steak frites recommendation,5,0,1,1,,1
"The veggies seemed fresh enough and it looked nice, but for 10$ it is absolutely not worth it.",veggie seem fresh enough look nice absolutely not worth,9,1,1,1,,1
I tried to remove it from under there but since we still had our dirty salad plates that hadn't been picked up there was no room.,try remove since still dirty salad plate not picked room,10,0,0,0,,0
I had one of the best lobster salads I've ever had in my life here.,one best lobster salad ever life,6,1,1,1,,1
"Not ridiculous, just a bit more than i was expecting and a bit more than it was worth.",not ridiculous bit expect bit worth,6,1,1,1,,1
We had our first experience at Cafe Monarch on Valentine's Day night...it was fabulous!,first experience cafe monarch valentine day night fabulous,8,1,1,1,,1
"The only salt was from the cheese, which you could taste in the last bite (as all the toppings were eaten already.)",salt cheese could taste last bite topping eat already,9,0,1,0,0,0
Since she wasn't very pleasant I had no intention of tipping her.,since not pleasant intention tip,5,0,0,0,,0
You pay at the counter and have your food delivered to your table.,pay counter food deliver table,5,0,1,1,1,1
"into an uber-trendy hot spot, complete with an awesome outdoor fireplace and great drinks.",ubertrendy hot spot complete awesome outdoor fireplace great drink,9,1,1,1,,1
It was pretty empty during the afternoon but the staff members greeted me very nicely and educated me on what they had to offer for their menu.,pretty empty afternoon staff member greet nicely educate offer menu,10,1,1,1,,1
How DOES the chef make that special sauce he puts on it?,chef make special sauce put,5,1,1,1,,1
"We ordered some drinks, a latte and a quad espresso.",order drink latte quad espresso,5,0,1,1,1,1
"In all seriousness, and forgive me for the superlatives, it was the best mac & cheese I've ever had, and by a wide margin.",seriousness forgive superlative best mac cheese ever wide margin,9,1,1,1,,1
